trade_id,symbol,entry,exit,EV,Prob,Conf,ExpectedReturn,ExpectedLoss,PnL,PredictionError,ExitReason
T0,RELIANCE,2024-01-01T00:00:00,2024-01-01T00:45:00,46.81751485592031,0.5872700594236813,0.8,150.0,-100.0,-80.56934385697923,0.0,
T1,RELIANCE,2024-01-01T01:00:00,2024-01-01T01:45:00,7.260451521024933,0.42904180608409975,0.8,150.0,-100.0,-54.30910430775924,0.0,
T2,RELIANCE,2024-01-01T02:00:00,2024-01-01T02:45:00,2.573061786975309,0.41029224714790125,0.8,150.0,-100.0,-114.08423157804856,0.0,
T3,RELIANCE,2024-01-01T03:00:00,2024-01-01T03:45:00,38.030280369942226,0.5521211214797689,0.8,150.0,-100.0,177.12800217929822,0.0,
T4,RELIANCE,2024-01-01T04:00:00,2024-01-01T04:45:00,76.48161184029742,0.7059264473611897,0.8,150.0,-100.0,104.59879622393944,0.0,
T5,RELIANCE,2024-01-01T05:00:00,2024-01-01T05:45:00,24.959222769794977,0.4998368910791799,0.8,150.0,-100.0,-142.36911104005875,0.0,
T6,RELIANCE,2024-01-01T06:00:00,2024-01-01T06:45:00,75.9431064876798,0.7037724259507192,0.8,150.0,-100.0,119.96806550405975,0.0,
T7,RELIANCE,2024-01-01T07:00:00,2024-01-01T07:45:00,15.25477935559735,0.46101911742238944,0.8,150.0,-100.0,-108.7508124937983,0.0,
T8,RELIANCE,2024-01-01T08:00:00,2024-01-01T08:45:00,32.347497700002116,0.5293899908000085,0.8,150.0,-100.0,-93.73409214985733,0.0,
T9,RELIANCE,2024-01-01T09:00:00,2024-01-01T09:45:00,121.19807847056981,0.8847923138822793,0.8,150.0,-100.0,52.016493806011226,0.0,
T10,RELIANCE,2024-01-01T10:00:00,2024-01-01T10:45:00,74.73749735138566,0.6989499894055426,0.8,150.0,-100.0,-103.46944847164721,0.0,
T11,RELIANCE,2024-01-01T11:00:00,2024-01-01T11:45:00,103.59218864399118,0.8143687545759647,0.8,150.0,-100.0,134.94481522053556,0.0,
T12,RELIANCE,2024-01-01T12:00:00,2024-01-01T12:45:00,17.61552812184533,0.47046211248738135,0.8,150.0,-100.0,-120.30766000917876,0.0,
T13,RELIANCE,2024-01-01T13:00:00,2024-01-01T13:45:00,88.35716798095214,0.7534286719238086,0.8,150.0,-100.0,180.5838144420434,0.0,
T14,RELIANCE,2024-01-01T14:00:00,2024-01-01T14:45:00,44.80821606803407,0.5792328642721363,0.8,150.0,-100.0,166.5631715701782,0.0,
T15,RELIANCE,2024-01-01T15:00:00,2024-01-01T15:45:00,38.87279021445778,0.5554911608578311,0.8,150.0,-100.0,198.77725635611796,0.0,
T16,RELIANCE,2024-01-01T16:00:00,2024-01-01T16:45:00,110.90159282204081,0.8436063712881633,0.8,150.0,-100.0,168.0818012523817,0.0,
T17,RELIANCE,2024-01-01T17:00:00,2024-01-01T17:45:00,96.37089749432013,0.7854835899772805,0.8,150.0,-100.0,117.74401226974379,0.0,
T18,RELIANCE,2024-01-01T18:00:00,2024-01-01T18:45:00,3.1773908430119064,0.4127095633720476,0.8,150.0,-100.0,154.35235341190855,0.0,
T19,RELIANCE,2024-01-01T19:00:00,2024-01-01T19:45:00,113.44580924076163,0.8537832369630465,0.8,150.0,-100.0,135.04963247670662,0.0,
T20,RELIANCE,2024-01-01T20:00:00,2024-01-01T20:45:00,28.599770686452814,0.5143990827458113,0.8,150.0,-100.0,109.57531985534061,0.0,
T21,RELIANCE,2024-01-01T21:00:00,2024-01-01T21:45:00,79.17546956380292,0.7167018782552117,0.8,150.0,-100.0,-115.0527113075361,0.0,
T22,RELIANCE,2024-01-01T22:00:00,2024-01-01T22:45:00,111.56987481124723,0.8462794992449889,0.8,150.0,-100.0,114.89734530613238,0.0,
T23,RELIANCE,2024-01-01T23:00:00,2024-01-01T23:45:00,102.25184574031164,0.8090073829612465,0.8,150.0,-100.0,-109.82986439793305,0.0,
T24,RELIANCE,2024-01-02T00:00:00,2024-01-02T00:45:00,52.176375393597375,0.6087055015743895,0.8,150.0,-100.0,132.86427417366153,0.0,
